station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
200,1986-08-06,13,DO_mgl,6.6,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,14,DO_mgl,6.5,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,15,DO_mgl,6.4,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,19.5,DO_mgl,5.8,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,0.1,DO_pctsat,97,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,1,DO_pctsat,98,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,2,DO_pctsat,98,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,3,DO_pctsat,96,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,30.5,DO_mgl,5.8,actual,trophic reports (Woody),pelagic,NA,NA
200,1987-03-03,30.5,DO_mgl,12.1,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,0.1,temp_C,23.2,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,1,temp_C,23.2,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,2,temp_C,23,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,3,temp_C,22.9,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,4,temp_C,22.2,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,5,temp_C,21.8,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,6,temp_C,21.1,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,7,temp_C,20,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,8,temp_C,19,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,9,temp_C,18,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,10,temp_C,17,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,11,temp_C,14.7,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,12,temp_C,12.8,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,13,temp_C,11.2,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,14,temp_C,11,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,15,temp_C,10.2,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,19.5,temp_C,10,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,0.1,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,1,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,2,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,3,DO_mgl,9.5,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,4,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,5,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
200,1986-08-06,6,DO_mgl,8.8,actual,trophic reports (Woody),pelagic,NA,NA
