station,site_type,sub_site_type,first_year,last_year,status,lat_dd,lon_dd
220,lake,deep,1993,2020,ongoing,43.3602,-72.0551
210,lake,deep,1986,2020,ongoing,43.3844,-72.0624
200,lake,deep,1986,2020,ongoing,43.4039,-72.0438
230,lake,deep,1986,2020,ongoing,43.3359,-72.0422
30,lake,cove,1986,2020,ongoing,43.4017,-72.0663
40,lake,cove,1988,2020,ongoing,43.39,-72.0788
90,lake,cove,1986,2020,ongoing,43.3242,-72.0387
10,lake,cove,1986,2020,ongoing,43.4264,-72.0624
70,lake,cove,1986,2020,ongoing,43.3445,-72.0588
80,lake,cove,1993,2020,ongoing,43.3324,-72.0434
110,lake,cove,1986,2020,ongoing,43.4108,-72.0351
50,lake,cove,1994,2020,ongoing,43.3757,-72.0674
60,lake,cove,1988,2020,ongoing,43.3679,-72.0736
100,lake,cove,1986,2003,inactive,43.3705,-72.0451
20,lake,cove,1986,2020,ongoing,43.4094,-72.0618
670,stream,,1986,2020,ongoing,43.3429,-72.067
670.5,stream,,1993,2020,ongoing,43.3449,-72.0745
222,lake,deep,1998,1998,inactive,NA,NA
225,lake,deep,1997,1998,inactive,NA,NA
505,stream,,1986,2020,ongoing,43.4304,-72.0679
805,stream,,1986,2020,ongoing,43.3888,-72.039
610,stream,,1986,2020,ongoing,43.3856,-72.0812
510,stream,,1986,2020,ongoing,43.4309,-72.0692
515,stream,,1989,1999,inactive,43.4286,-72.0702
640,stream,,1989,2000,inactive,43.3663,-72.0808
800,stream,,1988,2020,ongoing,43.3852,-72.0403
540,stream,,1989,2020,ongoing,43.4143,-72.0653
830,stream,,1989,2020,ongoing,43.4092,-72.0307
790,stream,,1986,2020,ongoing,43.3697,-72.0387
202,lake,deep,2020,2020,temporary,43.414,-72.0441
1415,stream,,1994,2020,ongoing,43.4351,-72.0023
680,stream,,1993,2020,ongoing,43.3407,-72.0731
790.4,stream,,1999,2020,ongoing,43.3664,-72.0272
835,stream,,1986,2020,ongoing,43.4142,-72.0355
790.2,stream,,1999,2020,ongoing,NA,NA
800.8,stream,,1999,2020,ongoing,NA,NA
1115,stream,,1994,2020,ongoing,43.3516,-72.0123
800.5,stream,,2000,2020,ongoing,NA,NA
1410.5,stream,,1997,2020,ongoing,43.4415,-72.0125
575,stream,,2017,2020,ongoing,43.3979,-72.0774
640.1,stream,,2017,2020,ongoing,43.3657,-72.0812
760,stream,,1992,2020,ongoing,43.3499,-72.0397
750,stream,,2004,2020,ongoing,43.3434,-72.0379
788,stream,,1993,2020,ongoing,43.3691,-72.0386
675,stream,,1989,2020,ongoing,43.3421,-72.0668
1420,stream,,1994,2020,ongoing,43.4281,-72.0341
1418,stream,,2002,2020,ongoing,43.4284,-72.0133
515.1,stream,,1994,2020,ongoing,43.4285,-72.0702
100.1,lake,cove,2003,2020,ongoing,43.3713,-72.043
830.15,stream,,2001,2020,ongoing,43.4098,-72.029
715,stream,,1993,2020,ongoing,43.3233,-72.0412
720.1,stream,,1996,2020,ongoing,43.3216,-72.0375
665,stream,,2016,2016,inactive,NA,NA
830.2,stream,,1996,2016,inactive,43.4098,-72.0269
1410,stream,,1994,2010,inactive,43.4369,-72.0105
1417,stream,,2002,2010,inactive,43.4266,-72.0106
805.1,stream,,1994,2005,inactive,NA,NA
835.2,stream,,1993,2004,inactive,NA,NA
835.15,stream,,2004,2004,inactive,NA,NA
700.1,stream,,2004,2004,inactive,NA,NA
740,stream,,1986,2004,inactive,43.3433,-72.043
720,stream,,1989,2003,inactive,43.3218,-72.0375
680.3,stream,,1993,2003,inactive,NA,NA
680.7,stream,,1993,2003,inactive,43.3297,-72.0813
515.12,stream,,1999,2002,inactive,NA,NA
515.6,stream,,1997,2001,inactive,NA,NA
830.7,stream,,1993,2001,inactive,NA,NA
515.18,stream,,1999,2001,inactive,NA,NA
790.7,stream,,1999,2001,inactive,NA,NA
1405,stream,,1994,2000,inactive,43.4377,-72.0234
1605,stream,,1994,2000,inactive,43.4404,-72.0645
1612,stream,,1994,2000,inactive,43.4486,-72.0539
1610,stream,,1994,2000,inactive,43.4406,-72.0626
830.1,stream,,2000,2000,inactive,NA,NA
515.2,stream,,1992,2000,inactive,NA,NA
1105,stream,,1994,2000,inactive,NA,NA
730,stream,,1994,2000,inactive,43.3355,-72.0383
710,stream,,1994,2000,inactive,43.3261,-72.042
1010,stream,,1995,2000,inactive,43.3415,-72.0783
1005,stream,,1994,2000,inactive,43.3462,-72.0866
680.38,stream,,1995,2000,inactive,NA,NA
590,stream,,1998,2000,inactive,NA,NA
800.6,stream,,1999,1999,inactive,NA,NA
515.5,stream,,1999,1999,inactive,NA,NA
680.1,stream,,1993,1999,inactive,NA,NA
590.2,stream,,1998,1999,inactive,NA,NA
680.26,stream,,1995,1999,inactive,NA,NA
680.35,stream,,1996,1999,inactive,NA,NA
680.54,stream,,1995,1999,inactive,NA,NA
720.5,stream,,1998,1999,inactive,NA,NA
792,stream,,1995,1999,inactive,NA,NA
794,stream,,1999,1999,inactive,NA,NA
830.3,stream,,1993,1999,inactive,NA,NA
729,stream,,1998,1999,inactive,NA,NA
728,stream,,1999,1999,inactive,NA,NA
590.1,stream,,1998,1999,inactive,NA,NA
670.1,stream,,1996,1999,inactive,NA,NA
731,stream,,1998,1998,inactive,NA,NA
806,stream,,1995,1998,inactive,43.401,-72.0353
835.1,stream,,1997,1997,inactive,NA,NA
680.25,stream,,1996,1996,inactive,NA,NA
1415.5,stream,,1996,1996,inactive,NA,NA
1415.1,stream,,1996,1996,inactive,NA,NA
1415.3,stream,,1996,1996,inactive,NA,NA
1415.2,stream,,1996,1996,inactive,NA,NA
675.2,stream,,1994,1996,inactive,NA,NA
1415.4,stream,,1996,1996,inactive,NA,NA
1416,stream,,1996,1996,inactive,NA,NA
791,stream,,1995,1995,inactive,NA,NA
1615,stream,,1994,1995,inactive,NA,NA
1410.1,stream,,1995,1995,inactive,NA,NA
680.32,stream,,1995,1995,inactive,NA,NA
680.29,stream,,1995,1995,inactive,NA,NA
680.52,stream,,1995,1995,inactive,NA,NA
680.5,stream,,1993,1995,inactive,NA,NA
680.42,stream,,1995,1995,inactive,NA,NA
680.41,stream,,1995,1995,inactive,NA,NA
505.5,stream,,1995,1995,inactive,NA,NA
1300,stream,,1994,1995,inactive,NA,NA
1200,stream,,1994,1995,inactive,43.4758,-72.018
575.5,stream,,1994,1994,inactive,NA,NA
575.3,stream,,1994,1994,inactive,NA,NA
575.1,stream,,1994,1994,inactive,NA,NA
800.1,stream,,1994,1994,inactive,NA,NA
805.2,stream,,1994,1994,inactive,NA,NA
1500,stream,,1994,1994,inactive,NA,NA
790.1,stream,,1993,1994,inactive,NA,NA
680.4,stream,,1994,1994,inactive,NA,NA
800.3,stream,,1993,1994,inactive,NA,NA
805.3,stream,,1993,1993,inactive,NA,NA
835.4,stream,,1993,1993,inactive,NA,NA
675.3,stream,,1993,1993,inactive,NA,NA
675.5,stream,,1993,1993,inactive,NA,NA
510.41,stream,,1993,1993,inactive,NA,NA
510.1,stream,,1993,1993,inactive,NA,NA
510.2,stream,,1993,1993,inactive,NA,NA
510.21,stream,,1993,1993,inactive,NA,NA
510.31,stream,,1993,1993,inactive,NA,NA
510.34,stream,,1993,1993,inactive,NA,NA
510.32,stream,,1993,1993,inactive,NA,NA
835.3,stream,,1993,1993,inactive,NA,NA
510.36,stream,,1993,1993,inactive,NA,NA
510.5,stream,,1993,1993,inactive,NA,NA
207,lake,deep,2020,2020,temporary,43.3913,-72.0687
205,lake,deep,2020,2020,temporary,43.4007,-72.0585
226,lake,deep,2020,2020,temporary,43.3415,-72.0478
215,lake,deep,2020,2020,temporary,43.3779,-72.055
219,lake,deep,2020,2020,temporary,43.3622,-72.059
1720,stream,,2020,2020,temporary,43.4584,-72.0484
675.6,stream,,2020,2020,temporary,43.3239,-72.0644
1305,stream,,2020,2020,temporary,43.4557,-72.0113
680.28,stream,,1995,1995,inactive,NA,NA
216,lake,deep,2020,2020,temporary,43.3766,-72.0496
