LAKE,TOWN,STATION,DATE,CHL,SD,NETPHY1,PCTPHY1,NETPHY2,PCTPHY2,NETPHY3,PCTPHY3,YEAR,MONTH,CompleteDate,SampleID,ID,Date_Sta
"SUNAPEE, LAKE 230",SUNAPEE,230,9/17/2018,3.26,9.89,,,,,,,2018,,9/20/2018,,3729,9172018 230
"SUNAPEE, LAKE 220",SUNAPEE,220,9/17/2018,2.36,9.4,,,,,,,2018,,9/20/2018,,3725,9172018 220
"SUNAPEE, LAKE 210",SUNAPEE,210,9/17/2018,1.66,10.2,,,,,,,2018,,9/20/2018,,3721,9172018 210
"SUNAPEE, LAKE 200",SUNAPEE,200,9/17/2018,1.63,10.27,,,,,,,2018,,9/20/2018,,3717,9172018 200
"SUNAPEE, LAKE",SUNAPEE,70,9/17/2018,0.9,6.85,,,,,,,2018,,9/20/2018,,3713,9172018 70
"SUNAPEE, LAKE",SUNAPEE,60,9/17/2018,0.73,7.95,,,,,,,2018,,9/20/2018,,3712,9172018 60
"SUNAPEE, LAKE",SUNAPEE,100.1,9/17/2018,0.54,7.37,,,,,,,2018,,9/20/2018,,3711,9172018 100.1
"SUNAPEE, LAKE",SUNAPEE,110,9/12/2018,1.11,7.15,,,,,,,2018,,9/20/2018,,3710,9122018 110
"SUNAPEE, LAKE",SUNAPEE,90,9/9/2018,1.06,7.3,,,,,,,2018,,9/12/2018,,3709,992018 90
"SUNAPEE, LAKE",SUNAPEE,80,9/9/2018,1.06,2,,,,,,,2018,,9/12/2018,,3708,992018 80
"SUNAPEE, LAKE",SUNAPEE,70,9/9/2018,1.25,7,,,,,,,2018,,9/12/2018,,3707,992018 70
"SUNAPEE, LAKE",SUNAPEE,30,9/9/2018,0.9,8.75,,,,,,,2018,,9/12/2018,,3706,992018 30
"SUNAPEE, LAKE",SUNAPEE,20,9/9/2018,1.63,4.3,,,,,,,2018,,9/12/2018,,3705,992018 20
"SUNAPEE, LAKE",SUNAPEE,10,9/9/2018,1.63,9.75,,,,,,,2018,,9/12/2018,,3704,992018 10
"SUNAPEE, LAKE 230",SUNAPEE,230,8/13/2018,2.91,8.33,,,,,,,2018,,8/16/2018,,3728,8132018 230
"SUNAPEE, LAKE 220",SUNAPEE,220,8/13/2018,3.07,8.9,,,,,,,2018,,8/16/2018,,3724,8132018 220
"SUNAPEE, LAKE 210",SUNAPEE,210,8/13/2018,2.15,8.93,,,,,,,2018,,8/16/2018,,3720,8132018 210
"SUNAPEE, LAKE 200",SUNAPEE,200,8/13/2018,1.44,9.2,,,,,,,2018,,8/16/2018,,3716,8132018 200
"SUNAPEE, LAKE",SUNAPEE,90,8/13/2018,1.28,7.3,,,,,,,2018,,8/16/2018,,3703,8132018 90
"SUNAPEE, LAKE",SUNAPEE,80,8/13/2018,1.25,2,,,,,,,2018,,8/16/2018,,3702,8132018 80
"SUNAPEE, LAKE",SUNAPEE,60,8/13/2018,1.25,4.7,,,,,,,2018,,8/16/2018,,3701,8132018 60
"SUNAPEE, LAKE",SUNAPEE,30,8/13/2018,1.79,9.15,,,,,,,2018,,8/16/2018,,3700,8132018 30
"SUNAPEE, LAKE",SUNAPEE,110,8/13/2018,1.41,6.25,,,,,,,2018,,8/16/2018,,3699,8132018 110
"SUNAPEE, LAKE",SUNAPEE,100.1,8/13/2018,0.9,7.7,,,,,,,2018,,8/16/2018,,3698,8132018 100.1
"SUNAPEE, LAKE",SUNAPEE,10,8/13/2018,1.79,8.25,,,,,,,2018,,8/16/2018,,3697,8132018 10
"SUNAPEE, LAKE",SUNAPEE,70,8/12/2018,1.28,7,,,,,,,2018,,8/16/2018,,3696,8122018 70
"SUNAPEE, LAKE",SUNAPEE,20,8/12/2018,2.17,4.3,,,,,,,2018,,8/16/2018,,3695,8122018 20
"SUNAPEE, LAKE 230",SUNAPEE,230,7/24/2018,2.36,8.2,,,,,,,2018,,7/26/2018,,3727,7242018 230
"SUNAPEE, LAKE 220",SUNAPEE,220,7/24/2018,2.17,9.1,,,,,,,2018,,7/26/2018,,3723,7242018 220
"SUNAPEE, LAKE 210",SUNAPEE,210,7/24/2018,2.36,9.55,,,,,,,2018,,7/26/2018,,3719,7242018 210
"SUNAPEE, LAKE 200",SUNAPEE,200,7/24/2018,2.36,9.155,,,,,,,2018,,7/26/2018,,3715,7242018 200
"SUNAPEE, LAKE",SUNAPEE,60,7/24/2018,1,7.9,,,,,,,2018,,7/26/2018,,3694,7242018 60
"SUNAPEE, LAKE",SUNAPEE,100.1,7/24/2018,1.63,8.47,,,,,,,2018,,7/26/2018,,3693,7242018 100.1
"SUNAPEE, LAKE",SUNAPEE,10,7/19/2018,1.6,8.5,,,,,,,2018,,7/26/2018,,3692,7192018 10
"SUNAPEE, LAKE",SUNAPEE,110,7/17/2018,0.52,6.75,,,,,,,2018,,7/19/2018,,3691,7172018 110
"SUNAPEE, LAKE",SUNAPEE,90,7/16/2018,0.87,7.3,,,,,,,2018,,7/19/2018,,3690,7162018 90
"SUNAPEE, LAKE",SUNAPEE,80,7/16/2018,0.85,2,,,,,,,2018,,7/19/2018,,3689,7162018 80
"SUNAPEE, LAKE",SUNAPEE,30,7/16/2018,1.25,8,,,,,,,2018,,7/19/2018,,3688,7162018 30
"SUNAPEE, LAKE",SUNAPEE,70,7/15/2018,0.87,7,,,,,,,2018,,7/19/2018,,3687,7152018 70
"SUNAPEE, LAKE",SUNAPEE,20,7/15/2018,1.25,4.3,,,,,,,2018,,7/19/2018,,3686,7152018 20
