LAKE,TOWN,STATION,DATE,CHL,SD,NETPHY1,PCTPHY1,NETPHY2,PCTPHY2,NETPHY3,PCTPHY3,YEAR,MONTH,CompleteDate,SampleID,ID,Date_Sta
"SUNAPEE, LAKE 230",SUNAPEE,230,24-Sep-19,0.87,,,,,,,,2019,,30-Sep-19,,3939,9242019 230
"SUNAPEE, LAKE 220",SUNAPEE,220,24-Sep-19,0.9,,,,,,,,2019,,30-Sep-19,,3935,9242019 220
"SUNAPEE, LAKE 210",SUNAPEE,210,24-Sep-19,1.28,,,,,,,,2019,,30-Sep-19,,3931,9242019 210
"SUNAPEE, LAKE 200",SUNAPEE,200,24-Sep-19,1.09,,,,,,,,2019,,30-Sep-19,,3927,9242019 200
"SUNAPEE, LAKE",SUNAPEE,70,18-Sep-19,1.09,6.78,,,,,,,2019,,30-Sep-19,,3923,9182019 70
"SUNAPEE, LAKE",SUNAPEE,110,18-Sep-19,1.25,6.5,,,,,,,2019,,19-Sep-19,,3922,9182019 110
"SUNAPEE, LAKE",SUNAPEE,90,16-Sep-19,1.06,7.3,,,,,,,2019,,19-Sep-19,,3921,9162019 90
"SUNAPEE, LAKE",SUNAPEE,80,16-Sep-19,0.87,2,,,,,,,2019,,19-Sep-19,,3920,9162019 80
"SUNAPEE, LAKE",SUNAPEE,30,16-Sep-19,2.15,7.5,,,,,,,2019,,19-Sep-19,,3919,9162019 30
"SUNAPEE, LAKE",SUNAPEE,20,15-Sep-19,1.44,4.3,,,,,,,2019,,19-Sep-19,,3918,9152019 20
"SUNAPEE, LAKE",SUNAPEE,10,15-Sep-19,1.06,7.75,,,,,,,2019,,19-Sep-19,,3917,9152019 10
"SUNAPEE, LAKE 230",SUNAPEE,230,19-Aug-19,1.44,8.4,,,,,,,2019,,22-Aug-19,,3892,8192019 230
"SUNAPEE, LAKE 220",SUNAPEE,220,19-Aug-19,1.25,8.925,,,,,,,2019,,22-Aug-19,,3889,8192019 220
"SUNAPEE, LAKE 210",SUNAPEE,210,19-Aug-19,1.6,9.07,,,,,,,2019,,22-Aug-19,,3886,8192019 210
"SUNAPEE, LAKE 200",SUNAPEE,200,19-Aug-19,1.44,8.5,,,,,,,2019,,22-Aug-19,,3883,8192019 200
"SUNAPEE, LAKE",SUNAPEE,60,19-Aug-19,0.9,4.7,,,,,,,2019,,22-Aug-19,,3880,8192019 60
"SUNAPEE, LAKE",SUNAPEE,100.1,14-Aug-19,0.9,5.7,,,,,,,2019,,22-Aug-19,,3879,8142019 100.1
"SUNAPEE, LAKE",SUNAPEE,110,13-Aug-19,1.06,6.375,,,,,,,2019,,15-Aug-19,,3878,8132019 110
"SUNAPEE, LAKE",SUNAPEE,90,12-Aug-19,1.22,6.75,,,,,,,2019,,15-Aug-19,,3877,8122019 90
"SUNAPEE, LAKE",SUNAPEE,80,12-Aug-19,0.9,2,,,,,,,2019,,15-Aug-19,,3876,8122019 80
"SUNAPEE, LAKE",SUNAPEE,70,12-Aug-19,1.06,8.7,,,,,,,2019,,15-Aug-19,,3875,8122019 70
"SUNAPEE, LAKE",SUNAPEE,30,12-Aug-19,2.53,8,,,,,,,2019,,15-Aug-19,,3874,8122019 30
"SUNAPEE, LAKE",SUNAPEE,20,12-Aug-19,1.25,4.3,,,,,,,2019,,15-Aug-19,,3873,8122019 20
"SUNAPEE, LAKE",SUNAPEE,10,12-Aug-19,2.88,7.75,,,,,,,2019,,15-Aug-19,,3872,8122019 10
"SUNAPEE, LAKE 230",SUNAPEE,230,29-Jul-19,1.09,8.65,,,,,,,2019,,01-Aug-19,,3856,7292019 230
"SUNAPEE, LAKE 220",SUNAPEE,220,29-Jul-19,1.55,8.75,,,,,,,2019,,01-Aug-19,,3854,7292019 220
"SUNAPEE, LAKE 210",SUNAPEE,210,29-Jul-19,1.09,9.05,,,,,,,2019,,01-Aug-19,,3852,7292019 210
"SUNAPEE, LAKE 200",SUNAPEE,200,29-Jul-19,1.25,9.52,,,,,,,2019,,01-Aug-19,,3850,7292019 200
"SUNAPEE, LAKE",SUNAPEE,60,29-Jul-19,0.9,5.275,,,,,,,2019,,01-Aug-19,,3848,7292019 60
"SUNAPEE, LAKE",SUNAPEE,90,16-Jul-19,0.54,7.3,,,,,,,2019,,25-Jul-19,,3847,7162019 90
"SUNAPEE, LAKE",SUNAPEE,80,16-Jul-19,0.87,2,,,,,,,2019,,25-Jul-19,,3846,7162019 80
"SUNAPEE, LAKE",SUNAPEE,20,16-Jul-19,1.28,4.3,,,,,,,2019,,25-Jul-19,,3845,7162019 20
"SUNAPEE, LAKE",SUNAPEE,110,16-Jul-19,1.09,6.4,,,,,,,2019,,25-Jul-19,,3844,7162019 110
"SUNAPEE, LAKE",SUNAPEE,30,15-Jul-19,5.04,7.25,,,,,,,2019,,01-Aug-19,,3843,7152019 30
"SUNAPEE, LAKE",SUNAPEE,10,15-Jul-19,3.24,7.75,,,,,,,2019,,25-Jul-19,,3842,7152019 10
"SUNAPEE, LAKE",SUNAPEE,70,02-Jul-19,1.46,5.6,,,,,,,2019,,01-Aug-19,,3841,722019 70
"SUNAPEE, LAKE 230",SUNAPEE,230,17-Jun-19,1.55,,,,,,,,2019,,10-Jul-19,,3855,6172019 230
"SUNAPEE, LAKE 220",SUNAPEE,220,17-Jun-19,2.12,,,,,,,,2019,,10-Jul-19,,3853,6172019 220
"SUNAPEE, LAKE 210",SUNAPEE,210,17-Jun-19,1.93,,,,,,,,2019,,10-Jul-19,,3851,6172019 210
"SUNAPEE, LAKE 200",SUNAPEE,200,17-Jun-19,1.96,,,,,,,,2019,,10-Jul-19,,3849,6172019 200
"SUNAPEE, LAKE",SUNAPEE,70,17-Jun-19,1.77,7.625,,,,,,,2019,,15-Jul-19,,3840,6172019 70
"SUNAPEE, LAKE",SUNAPEE,60,17-Jun-19,1.82,4.7,,,,,,,2019,,15-Jul-19,,3839,6172019 60
"SUNAPEE, LAKE",SUNAPEE,10,12-Jun-19,2.8,7,,,,,,,2019,,13-Jun-19,,3838,6122019 10
"SUNAPEE, LAKE",SUNAPEE,90,10-Jun-19,1.63,5.75,,,,,,,2019,,13-Jun-19,,3837,6102019 90
"SUNAPEE, LAKE",SUNAPEE,80,10-Jun-19,1.41,2,,,,,,,2019,,13-Jun-19,,3836,6102019 80
"SUNAPEE, LAKE",SUNAPEE,110,10-Jun-19,2.15,5.2,,,,,,,2019,,13-Jun-19,,3835,6102019 110
"SUNAPEE, LAKE",SUNAPEE,20,09-Jun-19,1.98,4.3,,,,,,,2019,,13-Jun-19,,3834,692019 20
