LAKE,TOWN,STATION,DATE,Depth,LAYER,PH,H_ION,ALK,COLOR,TP,COND,TURBIDITY,YEAR,MONTH,Comments,SampleID,CompleteDate,ID,Date_Sta_Lr
"SUNAPEE, LAKE",SUNAPEE,230,14-Oct-19,20.5,I,,,,,0.01,,,2019,,,,10/17/2019,36102,10142019230I
"SUNAPEE, LAKE",SUNAPEE,220,14-Oct-19,24.5,I,,,,,0.012,,,2019,,,,10/17/2019,36101,10142019220I
"SUNAPEE, LAKE",SUNAPEE,210,14-Oct-19,30.5,I,,,,,0.01,,,2019,,,,10/17/2019,36100,10142019210I
"SUNAPEE, LAKE",SUNAPEE,200,14-Oct-19,21,I,,,,,0.009,,,2019,,,,10/17/2019,36099,10142019200I
"SUNAPEE, LAKE",SUNAPEE,805,14-Oct-19,,I,,,,,0.016,,,2019,,,,10/17/2019,36098,10142019805I
"SUNAPEE, LAKE",SUNAPEE,800,14-Oct-19,,I,,,,,0.015,,,2019,,,,10/17/2019,36097,10142019800I
"SUNAPEE, LAKE",SUNAPEE,220,10-Oct-19,24,I,,,,,0.012,,,2019,,,,10/17/2019,36096,10102019220I
"SUNAPEE, LAKE",SUNAPEE,210,10-Oct-19,30,I,,,,,0.006,,,2019,,,,10/17/2019,36095,10102019210I
"SUNAPEE, LAKE",SUNAPEE,200,10-Oct-19,20.5,I,,,,,0.006,,,2019,,,,10/17/2019,36094,10102019200I
"SUNAPEE, LAKE",SUNAPEE,230,08-Oct-19,21,I,,,,,0.007,,,2019,,,,10/17/2019,36092,1082019230I
"SUNAPEE, LAKE",SUNAPEE,835,07-Oct-19,,I,7.21,,,,0.013,1366,0.9,2019,,,,10/17/2019,36091,1072019835I
"SUNAPEE, LAKE",SUNAPEE,830,07-Oct-19,,I,6.11,,,,0.026,715,12.4,2019,,,,10/17/2019,36090,1072019830I
"SUNAPEE, LAKE",SUNAPEE,1415,06-Oct-19,,I,6.63,,,,0.086,540,11.8,2019,,,,10/17/2019,36089,10620191415I
"SUNAPEE, LAKE",SUNAPEE,1115,02-Oct-19,,I,6.43,,,,0.007,53.2,0.51,2019,,,,10/3/2019,36088,10220191115I
"SUNAPEE, LAKE",SUNAPEE,800.8,02-Oct-19,,I,6.74,,,,0.017,54,0.89,2019,,,,10/3/2019,36087,1022019800.8I
"SUNAPEE, LAKE",SUNAPEE,800.5,02-Oct-19,,I,6.65,,,,0.013,59.5,0.9,2019,,,,10/3/2019,36086,1022019800.5I
"SUNAPEE, LAKE",SUNAPEE,790.4,02-Oct-19,,I,6.67,,,,0.028,45.2,2.01,2019,,,,10/3/2019,36085,1022019790.4I
"SUNAPEE, LAKE",SUNAPEE,790.2,02-Oct-19,,I,6.9,,,,0.029,63.4,4.06,2019,,,,10/3/2019,36084,1022019790.2I
"SUNAPEE, LAKE",SUNAPEE,675,02-Oct-19,,I,6.7,,,,0.009,118,0.78,2019,,,,10/3/2019,36083,1022019675I
"SUNAPEE, LAKE",SUNAPEE,670,02-Oct-19,,I,6.84,,,,0.011,337,2.39,2019,,,,10/3/2019,36079,1022019670I
"SUNAPEE, LAKE",SUNAPEE,830.15,01-Oct-19,,I,6.05,,,,0.031,690,8.4,2019,,,,10/3/2019,36078,1012019830.15I
"SUNAPEE, LAKE",SUNAPEE,640.1,01-Oct-19,,I,6.52,,,,0.037,105.9,1.81,2019,,,,10/3/2019,36077,1012019640.1I
"SUNAPEE, LAKE",SUNAPEE,610,01-Oct-19,,I,6.97,,,,0.004,91.9,0.63,2019,,,,10/3/2019,36076,1012019610I
"SUNAPEE, LAKE",SUNAPEE,575,01-Oct-19,,I,6.7,,,,0.015,344,2.15,2019,,,,10/3/2019,36075,1012019575I
"SUNAPEE, LAKE",SUNAPEE,515.1,01-Oct-19,,I,6.49,,,,0.004,919,1.24,2019,,,,10/3/2019,36074,1012019515.1I
"SUNAPEE, LAKE",SUNAPEE,1420,30-Sep-19,,I,7.02,,,,0.005,75,0.51,2019,,,,10/3/2019,36073,93020191420I
