Date,Time,Site,Unit ID,°C,DO %,DO mg/L,DEP m
5/8/2019,9:13:26,200,PRODSS,8.2,101.5,11.96,0.587
5/8/2019,9:18:30,200,PRODSS,8.1,101.4,11.98,1.029
5/8/2019,9:21:21,200,PRODSS,8,101.1,11.96,2.003
5/8/2019,9:22:49,200,PRODSS,7.9,101,11.99,2.994
5/8/2019,9:24:42,200,PRODSS,7.5,100.2,12.02,4.005
5/8/2019,9:26:12,200,PRODSS,6.8,98.5,12.01,5.084
5/8/2019,9:26:53,200,PRODSS,6.7,98.2,12,6.134
5/8/2019,9:27:25,200,PRODSS,6.6,97.9,12,7.045
5/8/2019,9:28:10,200,PRODSS,6.5,97.5,11.97,8.003
5/8/2019,9:28:49,200,PRODSS,6.4,96.5,11.91,9.136
5/8/2019,9:29:31,200,PRODSS,6.3,96.1,11.86,10.017
5/8/2019,9:30:58,200,PRODSS,6.3,96.2,11.87,10.14
5/8/2019,9:32:04,200,PRODSS,6.3,96.1,11.85,11.019
5/8/2019,9:33:12,200,PRODSS,6.2,95.4,11.8,12.058
5/8/2019,9:34:22,200,PRODSS,6.2,94.8,11.73,13.067
5/8/2019,10:59:32,210,PRODSS,8.4,101.5,11.92,0.102
5/8/2019,11:01:45,210,PRODSS,8.4,101.5,11.92,0.524
5/8/2019,11:03:08,210,PRODSS,8.4,101.5,11.91,1.114
5/8/2019,11:05:16,210,PRODSS,8.3,101.4,11.91,2.122
5/8/2019,11:06:27,210,PRODSS,8.3,101.2,11.91,3.183
5/8/2019,11:07:27,210,PRODSS,8.3,101.2,11.91,4.09
5/8/2019,11:08:27,210,PRODSS,8.2,101,11.91,5.072
5/8/2019,11:09:27,210,PRODSS,8,100.7,11.93,6.019
5/8/2019,11:10:27,210,PRODSS,7.6,100.3,12,6.967
5/8/2019,11:11:23,210,PRODSS,6.8,98.2,11.99,8.126
5/8/2019,11:12:21,210,PRODSS,6.4,97,11.94,9.217
5/8/2019,11:13:17,210,PRODSS,6.3,96.5,11.92,10.194
5/8/2019,11:15:16,210,PRODSS,6.2,95.8,11.87,12.004
5/8/2019,11:16:12,210,PRODSS,6.2,95.6,11.84,12.902
5/8/2019,11:17:09,210,PRODSS,6.2,95.5,11.83,14.101
6/17/2019,8:51:18,200,PRODSS,17.4,99.4,9.52,0.486
6/17/2019,9:02:40,200,PRODSS,10,86.2,9.74,12.179
6/17/2019,9:03:12,200,PRODSS,9.8,85.5,9.69,13.168
6/17/2019,9:03:42,200,PRODSS,9.7,84.9,9.64,14.101
6/17/2019,9:04:01,200,PRODSS,9.7,84.5,9.61,15.103
6/17/2019,9:04:47,200,PRODSS,9.6,84.3,9.6,15.986
6/17/2019,9:05:14,200,PRODSS,9.6,84.2,9.6,17.061
6/17/2019,9:05:32,200,PRODSS,9.5,84,9.58,18.05
6/17/2019,9:05:59,200,PRODSS,9.5,83.3,9.52,19.184
6/17/2019,9:06:24,200,PRODSS,9.4,82.8,9.48,20.182
