LAKE,TOWN,STATION,DATE,CHL,SD,NETPHY1,PCTPHY1,NETPHY2,PCTPHY2,NETPHY3,PCTPHY3,YEAR,MONTH,CompleteDate,SampleID,ID,Date_Sta
"SUNAPEE, LAKE",SUNAPEE,10,21-Sep-20,0.87,10.25,,,,,,,2020,,24-Sep-20,,3972,9212020 10
"SUNAPEE, LAKE",SUNAPEE,70,16-Sep-20,0.73,7.62,,,,,,,2020,,24-Sep-20,,3971,9162020 70
"SUNAPEE, LAKE",SUNAPEE,20,15-Sep-20,1.28,4.3,,,,,,,2020,,24-Sep-20,,3970,9152020 20
"SUNAPEE, LAKE",SUNAPEE,30,15-Sep-20,0.9,10.4,,,,,,,2020,,24-Sep-20,,3969,9152020 30
"SUNAPEE, LAKE 210",SUNAPEE,210,15-Sep-20,0.9,10.05,,,,,,,2020,,24-Sep-20,,3979,9152020 210
"SUNAPEE, LAKE",SUNAPEE,110,15-Sep-20,0.9,6.75,,,,,,,2020,,24-Sep-20,,3968,9152020 110
"SUNAPEE, LAKE",SUNAPEE,90,15-Sep-20,1.09,7.3,,,,,,,2020,,24-Sep-20,,3967,9152020 90
"SUNAPEE, LAKE",SUNAPEE,100.1,15-Sep-20,0.71,7.8,,,,,,,2020,,24-Sep-20,,3966,9152020 100.1
"SUNAPEE, LAKE",SUNAPEE,60,15-Sep-20,1.06,4.7,,,,,,,2020,,24-Sep-20,,3965,9152020 60
"SUNAPEE, LAKE",SUNAPEE,110,11-Aug-20,2.27,6.75,,,,,,,2020,,20-Aug-20,,3964,8112020 110
"SUNAPEE, LAKE",SUNAPEE,20,11-Aug-20,0.9,4.3,,,,,,,2020,,13-Aug-20,,3963,8112020 20
"SUNAPEE, LAKE 202",SUNAPEE,202,11-Aug-20,0.9,9.65,,,,,,,2020,,13-Aug-20,,3974,8112020 202
"SUNAPEE, LAKE",SUNAPEE,50,11-Aug-20,0.38,5.2,,,,,,,2020,,13-Aug-20,,3962,8112020 50
"SUNAPEE, LAKE 210",SUNAPEE,210,11-Aug-20,0.73,10,,,,,,,2020,,13-Aug-20,,3978,8112020 210
"SUNAPEE, LAKE",SUNAPEE,40,11-Aug-20,1.63,9.57,,,,,,,2020,,13-Aug-20,,3961,8112020 40
"SUNAPEE, LAKE",SUNAPEE,10,10-Aug-20,2.51,8.5,,,,,,,2020,,13-Aug-20,,3960,8102020 10
"SUNAPEE, LAKE",SUNAPEE,90,10-Aug-20,1.39,6.3,,,,,,,2020,,13-Aug-20,,3959,8102020 90
"SUNAPEE, LAKE",SUNAPEE,80,10-Aug-20,0.71,2,,,,,,,2020,,13-Aug-20,,3958,8102020 80
"SUNAPEE, LAKE",SUNAPEE,1700,29-Jul-20,4.35,,,,,,,,2020,,06-Aug-20,,3957,7292020 1700
"SUNAPEE, LAKE",SUNAPEE,70,19-Jul-20,0.52,7.57,,,,,,,2020,,23-Jul-20,,3956,7192020 70
"SUNAPEE, LAKE",SUNAPEE,60,15-Jul-20,1.25,6.75,,,,,,,2020,,23-Jul-20,,3955,7152020 60
"SUNAPEE, LAKE 230",SUNAPEE,230,15-Jul-20,1.25,9.35,,,,,,,2020,,23-Jul-20,,3981,7152020 230
"SUNAPEE, LAKE 210",SUNAPEE,210,15-Jul-20,1.44,10.55,,,,,,,2020,,23-Jul-20,,3977,7152020 210
"SUNAPEE, LAKE",SUNAPEE,30,15-Jul-20,1.28,9.9,,,,,,,2020,,23-Jul-20,,3954,7152020 30
"SUNAPEE, LAKE",SUNAPEE,10,13-Jul-20,1.28,10,,,,,,,2020,,15-Jul-20,,3953,7132020 10
"SUNAPEE, LAKE",SUNAPEE,90,13-Jul-20,0.71,7.3,,,,,,,2020,,15-Jul-20,,3952,7132020 90
"SUNAPEE, LAKE",SUNAPEE,80,13-Jul-20,0.73,2,,,,,,,2020,,15-Jul-20,,3951,7132020 80
"SUNAPEE, LAKE",SUNAPEE,110,13-Jul-20,0.9,7.75,,,,,,,2020,,15-Jul-20,,3950,7132020 110
"SUNAPEE, LAKE",SUNAPEE,20,12-Jul-20,1.28,4.3,,,,,,,2020,,15-Jul-20,,3949,7122020 20
"SUNAPEE, LAKE",SUNAPEE,40,22-Jun-20,1.79,9.1,,,,,,,2020,,25-Jun-20,,3948,6222020 40
"SUNAPEE, LAKE",SUNAPEE,100.1,22-Jun-20,1.28,7.8,,,,,,,2020,,25-Jun-20,,3947,6222020 100.1
"SUNAPEE, LAKE 210",SUNAPEE,210,22-Jun-20,1.25,7.5,,,,,,,2020,,25-Jun-20,,3976,6222020 210
"SUNAPEE, LAKE 220",SUNAPEE,220,22-Jun-20,0.9,9,,,,,,,2020,,25-Jun-20,,3980,6222020 220
"SUNAPEE, LAKE",SUNAPEE,20,18-Jun-20,0.9,4.3,,,,,,,2020,,25-Jun-20,,3946,6182020 20
"SUNAPEE, LAKE",SUNAPEE,70,17-Jun-20,0.52,8.5,,,,,,,2020,,18-Jun-20,,3945,6172020 70
"SUNAPEE, LAKE",SUNAPEE,110,16-Jun-20,1.6,6.625,,,,,,,2020,,18-Jun-20,,3944,6162020 110
"SUNAPEE, LAKE",SUNAPEE,10,15-Jun-20,1.41,8.25,,,,,,,2020,,18-Jun-20,,3943,6152020 10
"SUNAPEE, LAKE",SUNAPEE,90,15-Jun-20,1.06,7.3,,,,,,,2020,,18-Jun-20,,3942,6152020 90
"SUNAPEE, LAKE",SUNAPEE,80,15-Jun-20,1.58,2,,,,,,,2020,,18-Jun-20,,3940,6152020 80
"SUNAPEE, LAKE 200",SUNAPEE,200,03-Jun-20,1.79,7.5,,,,,,,2020,,11-Jun-20,,3973,632020 200
"SUNAPEE, LAKE 210",SUNAPEE,210,03-Jun-20,2.15,7.2,,,,,,,2020,,11-Jun-20,,3975,632020 210
