Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,5/14/18 12:00,9.8,1.706,0.193,0.212,0.125,1,0,0,0,0
FCR,50,5/21/18 12:00,9.8,1.774,0.371,0.265,0.189,1,0,0,0,0
FCR,50,5/23/18 12:00,9.8,4.093,0.34,0.17,0.021,1,0,0,0,0
FCR,50,5/28/18 12:00,9.8,0.465,0.138,0.199,0.129,1,0,0,0,0
FCR,50,6/4/18 12:00,9.8,0.58,0.328,0.209,0.246,1,0,0,0,0
FCR,50,8/27/18 12:00,9.8,28.965,2.544,28.391,2.524,1,0,0,0,0
FCR,50,6/11/18 12:00,9.5,4.437,0.829,0.294,0.647,1,0,0,0,0
FCR,50,6/18/18 12:00,9.5,0.938,0.577,0.276,0.447,1,0,0,0,0
FCR,50,6/25/18 12:00,9.5,1.125,0.682,0.273,0.552,1,0,0,0,0
FCR,50,7/2/18 12:00,9.5,1.893,0.933,0.147,0.732,1,0,0,0,0
FCR,50,7/9/18 12:00,9.5,1.906,0.958,0.378,0.831,1,0,0,0,0
FCR,50,7/23/18 12:00,9.5,2.968,1.135,0.495,1.006,1,0,0,0,0
FCR,50,7/30/18 12:00,9.5,3.791,1.369,0.366,1.108,1,0,0,0,0
FCR,50,8/13/18 12:00,9.5,4.828,1.473,0.117,1.433,1,0,0,0,0
FCR,50,9/3/18 12:00,9.5,16.18,1.808,15.956,1.826,1,0,0,0,0
FCR,50,9/10/18 12:00,9.5,5.519,1.61,0.774,1.6,1,0,0,0,0
FCR,50,9/24/18 12:00,9.5,20.827,1.56,20.661,1.562,1,0,0,0,0
FCR,50,10/1/18 12:00,9.5,17.394,1.48,17.663,1.506,1,0,0,0,0
FCR,50,10/8/18 12:00,9.5,42.382,2.29,41.61,2.278,1,0,0,0,0
FCR,50,10/15/18 12:00,9.5,43.499,2.394,43.282,2.416,1,0,0,0,0
FCR,50,10/22/18 12:00,9.5,20.033,1.324,18.3,1.273,1,0,0,0,0
FCR,50,10/29/18 12:00,9.5,1.683,0.111,1.058,0.095,1,0,0,0,0
FCR,50,11/19/18 12:00,9.5,0.943,0.037,0.668,0.033,1,0,0,0,0
,,,,3.791,0.958,0.378,0.831,,,,,
,,,,9.909956522,1.064521739,8.337565217,0.981695652,,,,,
