"Reservoir","Site","DateTime","Depth_m","Rep","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DateTime","Flag_TN","Flag_TP","Flag_NH4","Flag_NO3NO2","Flag_SRP","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"BVR",50,"2014-04-04 12:00:00",0.1,1,244,16,7,4,4,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-04 12:00:00",4,1,225,15.1,9,4,4,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-04 12:00:00",8,1,224,12,7,4,3,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-04 12:00:00",12,1,211,16.5,7,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-16 12:00:00",0.1,1,347,13.5,7,3,2,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-16 12:00:00",4,1,326,15.8,14,3,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-16 12:00:00",8,1,279,15.8,14,6,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-16 12:00:00",12,1,295,11,25,3,2,2.3,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-30 12:00:00",0.1,1,195,7.3,49,6,77,0.2,NA,NA,NA,1,0,0,0,0,0,3,NA,NA,NA
"BVR",50,"2014-04-30 12:00:00",4,1,206,6.1,13,6,6,2,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-30 12:00:00",8,1,191,9.2,12,8,2,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-04-30 12:00:00",12,1,320,19.9,77,3,5,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-05-14 12:00:00",0.1,1,202,9.6,8,4,2,2.1,NA,NA,NA,1,0,0,6,6,6,6,NA,NA,NA
"BVR",50,"2014-05-14 12:00:00",4,1,211,9.1,7,0,3,2.1,NA,NA,NA,1,0,0,6,6,6,6,NA,NA,NA
"BVR",50,"2014-05-14 12:00:00",8,1,182,7.6,11,4,3,2.1,NA,NA,NA,1,0,0,6,6,6,6,NA,NA,NA
"BVR",50,"2014-05-14 12:00:00",12,1,219,7,58,4,2,2.1,NA,NA,NA,1,0,0,6,6,6,6,NA,NA,NA
"BVR",50,"2014-05-29 12:00:00",0.1,1,199,5.9,3,3,3,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-05-29 12:00:00",4,1,192,6.5,6,4,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-05-29 12:00:00",8,1,160,5.8,5,4,4,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-05-29 12:00:00",12,1,378,26.8,58,2,5,2.9,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-06-04 12:00:00",0.1,1,171,4.8,5,3,119,2.3,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-06-04 12:00:00",4,1,166,5.2,7,3,3,2.4,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2014-06-04 12:00:00",8,1,169,4.3,6,3,7,2.5,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA
