time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2015-07-07 16:00:00,28.29,483.51,382.08,62.28,1.98,0,0
2015-07-07 17:00:00,27.45,238.13,387.19,66.33,0.82,0,0
2015-07-07 18:00:00,25.01,83.29,406.38,82.3,0.65,0,0
2015-07-07 19:00:00,25.45,11.91,410.32,71.47,1.01,0,0
2015-07-07 20:00:00,23.68,0,399.69,75.23,0.76,0,0
2015-07-07 21:00:00,22.68,0,376.51,89.5,0.8,0,0
2015-07-07 22:00:00,21.59,0,378.13,91.7,1.2,0,0
2015-07-07 23:00:00,21.06,0,379.88,93.5,0.81,0,0
2015-07-08 00:00:00,20.93,0,378.54,93.4,0.78,0,0
2015-07-08 01:00:00,20.57,0,376.2,95.1,1.16,0,0
2015-07-08 02:00:00,20.35,0,387.89,96.1,1.6,0,0
2015-07-08 03:00:00,21.24,0.12,398.89,89.7,1.14,0,0
2015-07-08 04:00:00,22.63,0.03,402.93,73.99,1.38,0,0
2015-07-08 05:00:00,24.25,7.14,409.71,68.78,2.91,0,0
2015-07-08 06:00:00,23.45,44.52,414.53,74.2,4.16,0,0
2015-07-08 07:00:00,23.05,66.95,417.99,78.84,3.95,0.00122,0
2015-07-08 08:00:00,22.21,128.83,417.64,84.3,2,0.00122,0
2015-07-08 09:00:00,22.64,194.22,418.65,85.5,1.23,0.00122,0
2015-07-08 10:00:00,22.52,205.09,415.18,88.9,0.59,0,0
2015-07-08 11:00:00,23.14,519.44,414.71,89.7,1.05,0,0
2015-07-08 12:00:00,25.5,345.33,418.11,73.38,1.77,0,0
2015-07-08 13:00:00,25.21,215.52,418.05,76.77,1.67,0,0
2015-07-08 14:00:00,24.86,267.14,417.52,76.54,0.96,0,0
2015-07-08 15:00:00,25.83,240.07,418.54,72.89,2.15,0,0
2015-07-08 16:00:00,24.9,179.62,416.19,77.5,1.9,0,0
2015-07-08 17:00:00,24.69,105.6,415.58,77.75,1.7,0,0
2015-07-08 18:00:00,24.35,21.11,422.39,77.62,1.49,0,0
2015-07-08 19:00:00,24.01,2.21,416.64,79.43,3.44,0,0
2015-07-08 20:00:00,23.48,0,419.48,81,2.58,0,0
2015-07-08 21:00:00,22.84,0,421.57,86.1,1.81,0.00122,0
2015-07-08 22:00:00,22.78,0,417.38,90.4,0.79,0,0
2015-07-08 23:00:00,22.81,0,413.72,87,2.46,0,0
2015-07-09 00:00:00,23.17,0,398.86,80.1,3,0,0
2015-07-09 01:00:00,22.64,0,378.96,80.2,1.85,0,0
2015-07-09 02:00:00,23.26,0,378.67,76.45,4.2,0,0
2015-07-09 03:00:00,23.26,0,376.65,81.1,4.05,0,0
2015-07-09 04:00:00,22.97,0,377.96,83.2,3.05,0,0
2015-07-09 05:00:00,22.19,11.23,371.65,86.5,3.95,0,0
2015-07-09 06:00:00,22.93,47.32,372.78,84.5,2.87,0,0
2015-07-09 07:00:00,23.43,265.93,373.43,82.3,3.74,0,0
2015-07-09 08:00:00,24.66,328.73,373.79,76.97,2.11,0,0
2015-07-09 09:00:00,26.24,699.09,379.68,71.09,2.28,0,0
2015-07-09 10:00:00,26.26,409.66,418.31,71.8,1.75,0,0
2015-07-09 11:00:00,26.61,397.2,424.13,69.3,1.88,0,0
2015-07-09 12:00:00,26.71,390.05,426.54,67.73,1.6,0,0
2015-07-09 13:00:00,27.14,412.92,418.62,64.81,1.72,0,0
2015-07-09 14:00:00,31.15,688.7,395.02,47.22,2.21,0,0
2015-07-09 15:00:00,31.11,623.15,397.47,44.89,2.38,0,0
2015-07-09 16:00:00,30.57,188.12,432.9,44.1,3.05,0,0
2015-07-09 17:00:00,29.31,284.6,409.09,46.79,2.19,0,0
2015-07-09 18:00:00,27.88,56.37,413.84,65.21,1.68,0,0
2015-07-09 19:00:00,28.03,17.52,403.89,57.16,1.35,0,0
2015-07-09 20:00:00,26.71,0,402.43,61.78,1.83,0,0
2015-07-09 21:00:00,26.65,0,396.53,54.79,3.01,0,0
2015-07-09 22:00:00,25.81,0,390.53,61.21,2.22,0,0
2015-07-09 23:00:00,25.55,0,389.99,64.17,2.43,0,0
2015-07-10 00:00:00,25.04,0,386.84,69.87,1.76,0,0
2015-07-10 01:00:00,24.43,0,408.33,71.38,1.08,0,0
2015-07-10 02:00:00,24.12,0,391.18,74.26,3.13,0,0
2015-07-10 03:00:00,24.06,0,384.52,73.61,1.91,0,0
2015-07-10 04:00:00,23.81,0,401.4,72.93,2.14,0,0
2015-07-10 05:00:00,23.23,12.68,399.85,78.4,1.16,0,0
2015-07-10 06:00:00,23.49,67.14,408.48,74.1,0.9,0,0
2015-07-10 07:00:00,23.3,136.73,401.21,77.22,1.99,0,0
2015-07-10 08:00:00,23.9,244.58,398.16,76.63,0.66,0,0
2015-07-10 09:00:00,24.77,423.81,393.56,74.49,1.76,0,0
2015-07-10 10:00:00,26.15,690,397.77,68.85,2.62,0,0
2015-07-10 11:00:00,26.93,618.55,401.69,64.94,3.78,0,0
2015-07-10 12:00:00,27.83,550.22,405.36,59.39,2.56,0,0
2015-07-10 13:00:00,29.05,547.98,407.04,53.84,2.51,0,0
2015-07-10 14:00:00,29.08,422.8,413.97,52.25,2.08,0,0
2015-07-10 15:00:00,29.15,491.43,409.63,52.05,1.81,0,0
2015-07-10 16:00:00,30.01,542.55,390.63,51.02,1.37,0,0
2015-07-10 17:00:00,29.81,331.21,389.98,53.24,1.34,0,0
2015-07-10 18:00:00,26.86,77.61,400.06,77.51,2.35,0,0
2015-07-10 19:00:00,24.55,12.15,373.78,63.34,5.53,0,0
2015-07-10 20:00:00,22.78,0,372.02,75.65,3.49,0,0
