par,lb,ub,x0
wind_factor,0.75,1.25,1
sw_factor,0.75,1.25,1
lw_factor,0.75,1.25,1
coef_mix_conv,0.1,0.5,0.2
coef_wind_stir,0.1,0.5,0.23
coef_mix_shear,0.1,0.6,0.3
coef_mix_turb,0.2,0.8,0.51
coef_mix_KH,0.1,0.6,0.3
coef_mix_hyp,0.2,0.8,0.5
ce,5e-04,0.002,0.0013
ch,5e-04,0.002,0.0013
cd,5e-04,0.002,0.0013
zone_heights,20,33,5
zone_heights,20,33,9
rain_factor,0.75,1.25,1
at_factor,0.75,1.25,1
rh_factor,0.75,1.25,1
sed_temp_mean,4,8,6
sed_temp_mean,8,14,11
sed_temp_amplitude,2,6,4
sed_temp_amplitude,2,6,4
sed_temp_peak_doy,230,280,260
sed_temp_peak_doy,230,280,260
